Equatorial Guinea	4892.0	NULL	83.0	NULL	2713.0	2096.0	NULL	3473.0	59.0	49215.0	34935.0	1408774.0	2.97%	109.0	74.0	72.0	105.0	NULL	NULL	Equatorial Guinea	4892.00		83		2713.00	2096.00		3473.00	59	49215.00	34935.00	1408774	2.97%	109	74	72	105
Eritrea	306.0	2.0	NULL	NULL	274.0	32.0	NULL	86.0	NULL	NULL	NULL	3553053.0		NULL	NULL	193.0	NULL	NULL	NULL	Eritrea	306	2			274	32		86				3553053				193	
Estonia	2227.0	20.0	63.0	NULL	2009.0	155.0	NULL	1679.0	47.0	138166.0	104146.0	1326661.0	3.04%	51.0	83.0	96.0	100.0	NULL	NULL	Estonia	2227.00	20	63		2009.00	155		1679.00	47	138166.00	104146.00	1326661	3.04%	51	83	96	100
Eswatini	4110.0	52.0	81.0	2.0	2643.0	1386.0	11.0	3538.0	70.0	28380.0	24427.0	1161807.0	2.97%	122.0	64.0	68.0	104.0	NULL	NULL	Eswatini	4110.00	52	81	2	2643.00	1386.00	11	3538.00	70	28380.00	24427.00	1161807	2.97%	122	64	68	104
Ethiopia	35836.0	1778.0	620.0	20.0	13536.0	21680.0	216.0	311.0	5.0	694093.0	6018.0	1.15332992E8	4.38%	168.0	155.0	165.0	73.0	NULL	NULL	Ethiopia	35836.00	1778.00	620	20	13536.00	21680.00	216	311	5	694093.00	6018.00	115332992	4.38%	168	155	165	73
Faeroe Islands	383.0	1.0	NULL	NULL	274.0	109.0	3.0	7834.0	NULL	80312.0	1642742.0	48889.0		2.0	NULL	31.0	NULL	NULL	NULL	Faeroe Islands	383	1			274	109	3	7834.00		80312.00	1642742.00	48889		2		31	
Falkland Islands	13.0	NULL	NULL	NULL	13.0	0.0	NULL	3722.0	NULL	2256.0	645863.0	3493.0		6.0	NULL	65.0	NULL	NULL	NULL	Falkland Islands	13				13	0		3722.00		2256.00	645863.00	3493		6		65	
Fiji	28.0	NULL	1.0	NULL	20.0	7.0	NULL	31.0	1.0	6693.0	7459.0	897343.0	4.76%	160.0	177.0	206.0	63.0	NULL	NULL	Fiji	28		1		20	7		31	1	6693.00	7459.00	897343	4.76%	160	177	206	63
Finland	7842.0	37.0	334.0	NULL	7100.0	408.0	NULL	1415.0	60.0	517936.0	93458.0	5541933.0	4.49%	55.0	72.0	104.0	69.0	NULL	NULL	Finland	7842.00	37	334		7100.00	408		1415.00	60	517936.00	93458.00	5541933	4.49%	55	72	104	69
France	229814.0	4771.0	30480.0	12.0	84065.0	115269.0	384.0	3520.0	467.0	6000000.0	91892.0	6.5293815E7	26.61%	56.0	12.0	70.0	8.0	NULL	NULL	France	229814.00	4771.00	30480.00	12	84065.00	115269.00	384	3520.00	467	6000000.00	91892.00	65293815	26.61%	56	12	70	8
French Guiana	8743.0	32.0	54.0	NULL	8189.0	500.0	17.0	29174.0	180.0	48382.0	161444.0	299682.0	0.66%	31.0	33.0	2.0	181.0	NULL	NULL	French Guiana	8743.00	32	54		8189.00	500	17	29174.00	180	48382.00	161444.00	299682	0.66%	31	33	2	181
French Polynesia	211.0	NULL	NULL	NULL	68.0	143.0	2.0	751.0	NULL	9912.0	35257.0	281134.0		106.0	NULL	131.0	NULL	NULL	NULL	French Polynesia	211				68	143	2	751		9912.00	35257.00	281134		106		131	
Gabon	8319.0	NULL	53.0	NULL	6614.0	1652.0	1.0	3726.0	24.0	104420.0	46771.0	2232578.0	0.79%	90.0	104.0	64.0	173.0	NULL	NULL	Gabon	8319.00		53		6614.00	1652.00	1	3726.00	24	104420.00	46771.00	2232578	0.79%	90	104	64	173
Gambia	2401.0	113.0	81.0	4.0	435.0	1885.0	NULL	990.0	33.0	10781.0	4445.0	2425361.0	15.70%	174.0	94.0	119.0	10.0	NULL	NULL	Gambia	2401.00	113	81	4	435	1885.00		990	33	10781.00	4445.00	2425361	15.70%	174	94	119	10
Georgia	1370.0	9.0	17.0	NULL	1108.0	245.0	NULL	344.0	4.0	315142.0	79021.0	3988076.0	1.51%	61.0	162.0	159.0	155.0	NULL	NULL	Georgia	1370.00	9	17		1108.00	245		344	4	315142.00	79021.00	3988076	1.51%	61	162	159	155
Germany	231284.0	1584.0	9324.0	10.0	204800.0	17160.0	231.0	2759.0	111.0	1.0197366E7	121656.0	8.3821481E7	4.35%	43.0	48.0	83.0	75.0	NULL	NULL	Germany	231284.00	1584.00	9324.00	10	204800.00	17160.00	231	2759.00	111	10197366.00	121656.00	83821481	4.35%	43	48	83	75
Ghana	43260.0	166.0	261.0	5.0	41276.0	1723.0	5.0	1388.0	8.0	431272.0	13841.0	3.1158344E7	0.63%	141.0	141.0	106.0	184.0	NULL	NULL	Ghana	43260.00	166	261	5	41276.00	1723.00	5	1388.00	8	431272.00	13841.00	31158344	0.63%	141	141	106	184
Gibraltar	229.0	6.0	NULL	NULL	200.0	29.0	NULL	6797.0	NULL	28366.0	841971.0	33690.0		5.0	NULL	35.0	NULL	NULL	NULL	Gibraltar	229	6			200	29		6797.00		28366.00	841971.00	33690		5		35	
Greece	7934.0	250.0	235.0	NULL	3804.0	3895.0	30.0	762.0	23.0	816450.0	78386.0	1.0415735E7	5.82%	62.0	107.0	130.0	47.0	NULL	NULL	Greece	7934.00	250	235		3804.00	3895.00	30	762	23	816450.00	78386.00	10415735	5.82%	62	107	130	47
Greenland	14.0	NULL	NULL	NULL	14.0	0.0	NULL	247.0	NULL	6446.0	113518.0	56784.0		45.0	NULL	172.0	NULL	NULL	NULL	Greenland	14				14	0		247		6446.00	113518.00	56784		45		172	
Grenada	24.0	NULL	NULL	NULL	24.0	0.0	NULL	213.0	NULL	6252.0	55526.0	112596.0		84.0	NULL	178.0	NULL	NULL	NULL	Grenada	24				24	0		213		6252.00	55526.00	112596		84		178	
Guadeloupe	510.0	NULL	15.0	NULL	289.0	206.0	2.0	1275.0	37.0	23585.0	58943.0	400134.0	4.93%	81.0	89.0	111.0	60.0	NULL	NULL	Guadeloupe	510		15		289	206	2	1275.00	37	23585.00	58943.00	400134	4.93%	81	89	111	60
Guatemala	65983.0	1102.0	2506.0	39.0	54351.0	9126.0	5.0	3674.0	140.0	213204.0	11871.0	1.7959594E7	4.41%	146.0	42.0	67.0	72.0	NULL	NULL	Guatemala	65983.00	1102.00	2506.00	39	54351.00	9126.00	5	3674.00	140	213204.00	11871.00	17959594	4.41%	146	42	67	72
Guinea	8876.0	84.0	53.0	NULL	7628.0	1195.0	24.0	674.0	4.0	16975.0	1288.0	1.317858E7	0.69%	190.0	162.0	137.0	180.0	NULL	NULL	Guinea	8876.00	84	53		7628.00	1195.00	24	674	4	16975.00	1288.00	13178580	0.69%	190	162	137	180
