country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious,tot_cases,deaths,total_tests,tests,cases_per_test,death_in_closed_cases,rank_by_testing_rate,rank_by_death_rate,rank_by_cases_rate,rank_by_death_of_closed_cases,top_death,top_test,country_name
San Marino,704,NULL,42,NULL,657,5,NULL,20742,1237,6511,191833,33941,6.01%,24,1,4,42,79,36,San Marino
Sao Tome and Principe,888,3,15,NULL,829,44,NULL,4042,68,3432,15621,219700,1.78%,137,66,59,145,158,85,Sao Tome and Principe
Saudi Arabia,303973,1287,3548,42,275476,24949,1682,8713,102,4501104,129021,34886672,1.27%,39,53,24,163,92,66,Saudi Arabia
Senegal,12559,113,261,3,8050,4248,39,748,16,134349,7997,16800813,3.14%,159,122,132,98,115,166,Senegal
Serbia,30209,161,689,5,27908,1612,52,3459,79,842441,96474,8732325,2.41%,54,60,73,127,32,13,Serbia
Seychelles,132,NULL,NULL,NULL,126,6,NULL,1341,NULL,NULL,NULL,98431,,NULL,NULL,107,NULL,193,196,Seychelles
Sierra Leone,1969,8,69,NULL,1536,364,NULL,246,9,NULL,NULL,7998386,4.30%,NULL,137,173,79,30,196,Sierra Leone
Singapore,56099,68,27,0,53119,2953,NULL,9579,5,1745928,298108,5856690,0.05%,15,155,22,192,112,136,Singapore
Sint Maarten,348,15,17,NULL,133,198,3,8104,396,1983,46179,42942,11.33%,92,15,29,18,147,125,Sint Maarten
Slovakia,3102,80,33,NULL,2014,1055,8,568,6,304021,55681,5460016,1.61%,83,148,142,151,96,93,Slovakia
Slovenia,2536,43,129,NULL,2079,328,3,1220,62,147091,70752,2078978,5.84%,66,71,112,46,167,153,Slovenia
Somalia,3265,NULL,93,NULL,2396,776,NULL,205,6,NULL,NULL,15950038,3.74%,NULL,148,180,85,4,196,Somalia
South Africa,599940,3880,12618,195,497169,90153,539,10098,212,3480283,58581,59410167,2.48%,82,30,20,123,168,83,South Africa
South Sudan,2494,NULL,47,NULL,1290,1157,NULL,222,4,12044,1074,11211590,3.52%,191,162,175,87,75,175,South Sudan
Spain,404229,3349,28813,16,0,0,522,8645,616,7955615,170147,46757339,100.00%,29,5,25,1,108,20,Spain
Sri Lanka,2918,16,11,NULL,2765,142,1,136,0.5,195025,9102,21425788,0.40%,154,183,187,189,179,127,Sri Lanka
St. Barth,16,NULL,NULL,NULL,9,7,NULL,1619,NULL,1699,171946,9881,,28,NULL,98,NULL,193,139,St. Barth
St. Vincent Grenadines,58,NULL,NULL,NULL,56,2,NULL,523,NULL,3033,27327,110989,,117,NULL,148,NULL,193,94,St. Vincent Grenadines
Sudan,12582,36,812,4,6456,5314,NULL,286,18,401,9,43982802,11.17%,194,114,166,19,16,74,Sudan
Suriname,3366,71,55,1,2383,928,20,5731,94,5889,10026,587354,2.26%,151,56,45,131,57,47,Suriname
Sweden,85810,NULL,5805,5,0,0,27,8489,574,1030010,101900,10108001,100.00%,53,8,26,1,54,189,Sweden
Switzerland,39026,266,1998,2,33900,3128,15,4505,231,910283,105073,8663370,5.57%,50,27,54,51,134,4,Switzerland
Syria,2008,81,82,4,460,1466,NULL,114,5,NULL,NULL,17555909,15.13%,NULL,155,189,11,13,196,Syria
Taiwan,486,NULL,7,NULL,457,22,NULL,20,0.3,85563,3592,23822843,1.51%,176,187,207,156,27,11,Taiwan
Tajikistan,8203,37,66,1,7006,1131,NULL,858,7,NULL,NULL,9565683,0.93%,NULL,146,129,170,33,196,Tajikistan
Tanzania,509,NULL,21,NULL,183,305,7,8,0.4,NULL,NULL,59951725,10.29%,NULL,184,212,23,128,196,Tanzania
Thailand,3389,7,58,NULL,3218,113,1,49,0.8,749213,10730,69824575,1.77%,147,180,201,146,55,23,Thailand
Timor-Leste,25,NULL,NULL,NULL,25,0,NULL,19,NULL,4238,3206,1321774,,177,NULL,208,NULL,193,71,Timor-Leste
Togo,1212,22,27,NULL,878,307,2,146,3,55741,6713,8304024,2.98%,164,169,185,102,112,52,Togo
Trinidad and Tobago,767,81,12,NULL,140,615,3,548,9,18036,12882,1400123,7.89%,143,137,145,31,174,134,Trinidad and Tobago
Tunisia,2543,116,63,3,1397,1083,8,215,5,119193,10071,11835528,4.32%,149,155,177,78,37,178,Tunisia
Turkey,254520,1412,6058,19,234797,13665,735,3013,72,6061930,71770,84463026,2.52%,65,63,79,119,49,44,Turkey
Turks and Caicos,327,12,2,NULL,56,269,3,8430,52,1940,50015,38788,3.45%,88,77,27,89,132,128,Turks and Caicos
UAE,65802,461,369,2,58153,7280,NULL,6642,37,6265918,632496,9906649,0.63%,7,89,37,183,91,41,UAE
UK,322280,1182,41403,6,0,0,70,4744,609,15177265,223407,67935641,100.00%,18,6,53,1,80,193,UK
USA,5746272,45341,177424,1090,3095484,2473364,16817,17346,536,73868332,222984,331272237,5.42%,19,10,8,53,143,28,USA
Uganda,1750,94,19,3,1194,537,NULL,38,0.4,336713,7332,45923374,1.57%,162,184,204,153,138,87,Uganda
Ukraine,98537,2134,2184,40,50441,45912,177,2255,50,1356698,31049,43695861,4.15%,113,80,88,81,127,164,Ukraine
Uruguay,1506,13,41,1,1242,223,3,433,12,154431,44435,3475415,3.20%,95,132,155,96,81,148,Uruguay
Uzbekistan,37547,435,252,4,33261,4034,410,1120,8,1377915,41089,33534589,0.75%,100,141,114,177,117,161,Uzbekistan
Vatican City,12,NULL,NULL,NULL,12,0,NULL,14981,NULL,NULL,NULL,801,,NULL,NULL,12,NULL,193,196,Vatican City
Venezuela,37567,699,311,8,26330,10926,85,1322,11,1678639,59056,28424431,1.17%,80,133,108,164,100,142,Venezuela
Vietnam,1007,13,25,NULL,542,440,NULL,10,0.3,817208,8385,97458937,4.41%,157,187,211,71,119,17,Vietnam
Western Sahara,10,NULL,1,NULL,8,1,NULL,17,2,NULL,NULL,599245,11.11%,NULL,176,209,21,185,196,Western Sahara
World,22849844,267351,796376,6186,15508345,6545123,61822,2931,102.2,NULL,NULL,NULL,4.88%,NULL,52,80,61,20,196,World
Yemen,1899,7,541,2,1058,300,NULL,63,18,120,4,29912082,33.83%,195,114,196,7,60,177,Yemen
Zambia,10372,154,274,5,9126,972,NULL,562,15,103023,5584,18449899,2.91%,171,125,143,108,110,188,Zambia
Zimbabwe,5745,102,151,1,4525,1069,NULL,386,10,149748,10056,14892083,3.23%,150,134,157,95,156,151,Zimbabwe
